"Country/Region","WHORegion","SumofConfirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"US","Americas","4290259","2816444","3.45","30.9","331002651"
"Brazil","Americas","2442375","508116","3.59","75.61","212559417"
"India","South-East Asia","1480073","495499","2.26","64.26","1380004385"
"Russia","Europe","816680","201097","1.63","73.74","145934462"
"South Africa","Africa","452529","170537","1.56","60.75","59308690"
"Mexico","Americas","395489","47657","11.13","76.82","128932753"
"Peru","Americas","389717","98752","4.73","69.93","32971854"
"Chile","Americas","347923","18782","2.64","91.96","19116201"
"United Kingdom","Europe","301708","254427","15.19","0.48","67886011"
"Iran","Eastern Mediterranean","293606","22550","5.42","86.9","83992949"
"Pakistan","Eastern Mediterranean","274289","27421","2.13","87.87","220892340"
"Spain","Europe","272421","93613","10.44","55.2","46754778"
"Saudi Arabia","Eastern Mediterranean","268934","43238","1.03","82.9","34813871"
"Colombia","Americas","257101","117163","3.41","51.02","50882891"
"Italy","Europe","246286","12581","14.26","80.64","60461826"
"Turkey","Europe","227019","10920","2.48","92.71","84339067"
"Bangladesh","South-East Asia","226225","97577","1.31","55.56","164689383"
"France","Europe","220352","108928","13.71","36.86","65273511"
"Germany","Europe","207112","7673","4.41","91.89","83783942"
"Argentina","Americas","167416","91782","1.83","43.35","45195774"
"Canada","Americas","116458","107514","7.68","0","37742154"
"Iraq","Eastern Mediterranean","112585","30983","3.96","68.52","40222493"
"Qatar","Eastern Mediterranean","109597","3104","0.15","97.02","2881053"
"Indonesia","South-East Asia","100303","37292","4.82","58","273523615"
"Egypt","Eastern Mediterranean","92482","52992","5.03","37.67","102334404"
"China","Western Pacific","86783","3258","5.37","90.88","1439323776"
"Kazakhstan","Europe","84648","29659","0.69","64.27","18776707"
"Philippines","Western Pacific","82040","53649","2.37","32.24","109581078"
"Ecuador","Americas","81161","40733","6.82","43","17643054"
"Sweden","Europe","79395","73695","7.18","0","10099265"
"Oman","Eastern Mediterranean","77058","19637","0.51","74.01","5106626"
"Bolivia","Americas","71181","47056","3.72","30.17","11673021"
"Belarus","Europe","67251","6221","0.8","89.95","9449323"
"Ukraine","Europe","67096","28258","2.44","55.45",""
"Belgium","Europe","66428","39154","14.79","26.27",""
"Kuwait","Eastern Mediterranean","64379","8884","0.68","85.52","4270571"
"Dominican Republic","Americas","64156","32869","1.69","47.08",""
"Israel","Europe","63985","36378","0.74","42.41",""
"Panama","Americas","61442","25034","2.15","57.1",""
"United Arab Emirates","Eastern Mediterranean","59177","6322","0.58","88.73","9890402"
"Netherlands","Europe","53413","47064","11.53","0.35",""
"Singapore","Western Pacific","50838","5119","0.05","89.88","109581078"
"Portugal","Europe","50299","13205","3.42","70.33",""
"Romania","Europe","45902","17902","4.81","56.19",""
"Guatemala","Americas","45309","11093","3.89","71.63",""
"Poland","Europe","43402","8870","3.86","75.7",""
"Nigeria","Africa","41180","22117","2.09","44.2","206139589"
"Honduras","Americas","39741","33536","2.93","12.68",""
"Bahrain","Eastern Mediterranean","39482","3231","0.36","91.46","1701575"
"Armenia","Europe","37390","10014","1.9","71.32",""
"Afghanistan","Eastern Mediterranean","36263","9796","3.5","69.49",""
"Switzerland","Europe","34477","1599","5.74","89.62",""
"Ghana","Africa","33624","3655","0.5","88.63","31072940"
"Kyrgyzstan","Europe","33296","10790","3.91","63.69",""
"Japan","Western Pacific","31142","8174","3.2","70.55","126476461"
"Azerbaijan","Europe","30446","6781","1.39","76.34",""
"Algeria","Africa","27973","7973","4.16","67.34","43851044"
"Ireland","Europe","25892","764","6.81","90.24",""
"Serbia","Europe","24141","23598","2.25","0",""
"Moldova","Europe","23154","6252","3.23","69.77",""
"Uzbekistan","Europe","21209","9414","0.57","55.04",""
"Morocco","Eastern Mediterranean","20887","4018","1.51","79.25",""
"Austria","Europe","20558","1599","3.47","88.75",""
"Nepal","South-East Asia","18752","4950","0.26","73.35","29,136,808"
"Kenya","Africa","17975","9857","1.59","43.58","53771296"
"Cameroon","Africa","17110","2180","2.29","84.97","26545863"
"Venezuela","Americas","15988","5883","0.91","62.29",""
"Costa Rica","Americas","15841","11902","0.73","24.14",""
"Cote d'Ivoire","Africa","15655","5198","0.61","66.18","26378274"
"Czechia","Europe","15516","3715","2.4","73.65",""
"Australia","Western Pacific","15303","5825","1.09","60.84","25499884"
"El Salvador","Americas","15035","6849","2.71","51.73",""
"Ethiopia","Africa","14547","7933","1.57","43.9","114963588"
"South Korea","Western Pacific","14203","896","2.11","91.58","51269185"
"Denmark","Europe","13761","543","4.45","91.6",""
"Sudan","Eastern Mediterranean","11424","4765","6.3","51.99",""
"Bulgaria","Europe","10621","4689","3.27","52.58",""
"West Bank and Gaza","Eastern Mediterranean","10621","6791","0.73","35.33",""
"Bosnia and Herzegovina","Europe","10498","5274","2.8","46.96",""
"North Macedonia","Europe","10213","4183","4.56","54.48",""
"Senegal","Africa","9764","3093","1.99","66.34","16743927"
"Madagascar","Africa","9690","3339","0.94","64.6","27691018"
"Norway","Europe","9132","125","2.79","95.84",""
"Malaysia","Western Pacific","8904","179","1.39","96.6","32365999"
"Congo (Kinshasa)","Africa","8844","2936","2.35","64.45",""
"Kosovo","Europe","7413","3201","2.5","54.32",""
"Finland","Europe","7398","149","4.45","93.54",""
"Haiti","Americas","7340","2817","2.15","59.47",""
"Tajikistan","Europe","7235","1147","0.83","83.32",""
"Gabon","Africa","7189","2458","0.68","65.13",""
"Guinea","Africa","7055","753","0.64","88.69",""
"Luxembourg","Europe","6321","1384","1.77","76.33",""
"Mauritania","Africa","6208","1399","2.51","74.95",""
"Djibouti","Eastern Mediterranean","5059","24","1.15","98.38",""
"Croatia","Europe","4881","806","2.85","80.64",""
"Albania","Europe","4880","1991","2.95","56.25",""
"Central African Republic","Africa","4599","2994","1.28","33.62",""
"Zambia","Africa","4552","1597","3.08","61.84",""
"Paraguay","Americas","4548","1600","0.95","63.87",""
"Hungary","Europe","4448","523","13.4","74.84",""
"Greece","Europe","4227","2651","4.78","32.51",""
"Lebanon","Eastern Mediterranean","3882","2122","1.31","44.02",""
"Malawi","Africa","3664","1920","2.7","44.9",""
"Nicaragua","Americas","3439","839","3.14","72.46",""
"Maldives","South-East Asia","3369","807","0.45","75.6","540544"
"Thailand","South-East Asia","3297","128","1.76","94.36","69799978"
"Congo (Brazzaville)","Africa","3200","2317","1.69","25.91",""
"Somalia","Eastern Mediterranean","3196","1560","2.91","48.28",""
"Equatorial Guinea","Africa","3071","2178","1.66","27.42",""
"Montenegro","Europe","2893","2039","1.56","27.96",""
"Libya","Eastern Mediterranean","2827","2186","2.26","20.41",""
"Sri Lanka","South-East Asia","2805","673","0.39","75.61","21413249"
"Zimbabwe","Africa","2704","2126","1.33","20.04",""
"Cuba","Americas","2532","94","3.44","92.85",""
"Mali","Africa","2513","476","4.93","76.12",""
"Cabo Verde","Africa","2328","756","0.95","66.58",""
"Eswatini","Africa","2316","1257","1.47","44.26",""
"South Sudan","Africa","2305","1084","2","50.98",""
"Slovakia","Europe","2181","537","1.28","74.09",""
"Slovenia","Europe","2087","238","5.56","83.04",""
"Estonia","Europe","2034","42","3.39","94.54",""
"Lithuania","Europe","2019","319","3.96","80.24",""
"Guinea-Bissau","Africa","1954","1125","1.33","41.1",""
"Rwanda","Africa","1879","899","0.27","51.89",""
"Iceland","Europe","1854","21","0.54","98.33",""
"Namibia","Africa","1843","1734","0.43","5.48",""
"Sierra Leone","Africa","1783","400","3.7","73.86",""
"Benin","Africa","1770","699","1.98","58.53",""
"Mozambique","Africa","1701","1690","0.65","0",""
"Yemen","Eastern Mediterranean","1691","375","28.56","49.26",""
"New Zealand","Western Pacific","1557","21","1.41","97.24","4822233"
"Suriname","Americas","1483","534","1.62","62.37",""
"Tunisia","Eastern Mediterranean","1455","248","3.44","79.52",""
"Latvia","Europe","1219","143","2.54","85.73",""
"Uruguay","Americas","1202","216","2.91","79.12",""
"Jordan","Eastern Mediterranean","1176","124","0.94","88.52",""
"Liberia","Africa","1167","449","6.17","55.36",""
"Georgia","Europe","1137","199","1.41","81.09",""
"Niger","Africa","1132","36","6.1","90.72",""
"Uganda","Africa","1128","140","0.18","87.41",""
"Burkina Faso","Africa","1100","121","4.82","84.18",""
"Cyprus","Europe","1060","189","1.79","80.38",""
"Angola","Africa","950","667","4.32","25.47",""
"Chad","Africa","922","37","8.13","87.85",""
"Andorra","Europe","907","52","5.73","88.53",""
"Togo","Africa","874","249","2.06","69.45",""
"Sao Tome and Principe","Africa","865","117","1.62","84.86",""
"Jamaica","Americas","853","129","1.17","83.7",""
"Botswana","Africa","739","674","0.27","8.53",""
"Malta","Europe","701","27","1.28","94.86",""
"San Marino","Europe","699","0","6.01","93.99",""
"Syria","Eastern Mediterranean","674","634","5.93","0",""
"Tanzania","Africa","509","305","4.13","35.95",""
"Lesotho","Africa","505","365","2.38","25.35",""
"Taiwan*","Western Pacific","462","15","1.52","95.24","23816775"
"Vietnam","Western Pacific","431","66","0","84.69","97338579"
"Guyana","Americas","389","188","5.14","46.53",""
"Bahamas","Americas","382","280","2.88","23.82",""
"Burundi","Africa","378","76","0.26","79.63",""
"Comoros","Africa","354","19","1.98","92.66",""
"Burma","South-East Asia","350","52","1.71","83.43","54409800"
"Mauritius","Africa","344","2","2.91","96.51",""
"Gambia","Africa","326","252","2.45","20.25",""
"Mongolia","Western Pacific","289","67","0","76.82",""
"Eritrea","Africa","265","74","0","72.08",""
"Cambodia","Western Pacific","226","79","0","65.04",""
"Trinidad and Tobago","Americas","148","12","5.41","86.49",""
"Brunei","Western Pacific","141","0","2.13","97.87",""
"Monaco","Europe","116","8","3.45","89.66",""
"Seychelles","Africa","114","75","0","34.21",""
"Barbados","Americas","110","9","6.36","85.45",""
"Bhutan","South-East Asia","99","13","0","86.87","771608"
"Antigua and Barbuda","Americas","86","18","3.49","75.58",""
"Liechtenstein","Europe","86","4","1.16","94.19",""
"Papua New Guinea","Western Pacific","62","51","0","17.74",""
"Saint Vincent and the Grenadines","Americas","52","13","0","75",""
"Belize","Americas","48","20","4.17","54.17",""
"Fiji","Western Pacific","27","9","0","66.67",""
"Saint Lucia","Americas","24","2","0","91.67",""
"Timor-Leste","South-East Asia","24","24","0","0","1318445"
"Grenada","Americas","23","0","0","100",""
"Laos","Western Pacific","20","1","0","95",""
"Dominica","Americas","18","0","0","100",""
"Saint Kitts and Nevis","Americas","17","2","0","88.24",""
"Greenland","Europe","14","1","0","92.86",""
"Holy See","Europe","12","0","0","100",""
"Western Sahara","Africa","10","1","10","80",""
